id,graduatingYear,overallScore,curriculum,jobSupport,school_id
283794,2021,5.0,5.0,5.0,11035
283793,2021,4.7,5.0,4.0,11035
283769,2021,5.0,5.0,5.0,11035
283755,2021,5.0,5.0,5.0,11035
283733,2021,4.3,4.0,4.0,11035
283728,2021,5.0,5.0,5.0,11035
283722,2021,4.7,5.0,4.0,11035
283713,2021,5.0,5.0,5.0,11035
283644,2021,5.0,5.0,5.0,11035
283578,2021,4.7,4.0,5.0,11035
283539,2021,5.0,5.0,5.0,11035
283498,2021,5.0,5.0,5.0,11035
283462,2021,4.7,5.0,5.0,11035
283461,2021,4.3,4.0,5.0,11035
283454,2021,5.0,5.0,5.0,11035
283430,2021,4.3,4.0,5.0,11035
283410,2021,5.0,5.0,5.0,11035
283355,2021,5.0,5.0,5.0,11035
283265,2021,5.0,5.0,5.0,11035
283215,2021,4.7,5.0,5.0,11035
283210,2021,4.7,5.0,4.0,11035
283176,2021,5.0,5.0,5.0,11035
283170,2021,5.0,5.0,5.0,11035
283137,2021,5.0,5.0,5.0,11035
283136,2021,5.0,5.0,5.0,11035
283126,2021,4.3,5.0,4.0,11035
283097,2021,4.0,4.0,4.0,11035
283078,2021,5.0,5.0,5.0,11035
283020,2021,4.7,4.0,5.0,11035
283019,2021,5.0,5.0,5.0,11035
283016,2021,4.7,5.0,5.0,11035
282956,2021,3.0,3.0,3.0,11035
282937,2021,5.0,5.0,5.0,11035
282930,2021,5.0,5.0,5.0,11035
282867,2020,4.3,4.0,5.0,11035
282863,2021,4.7,5.0,4.0,11035
282771,2015,5.0,5.0,5.0,11035
282746,2021,5.0,5.0,5.0,11035
282729,2021,5.0,5.0,5.0,11035
282714,2021,4.3,4.0,5.0,11035
282696,2021,5.0,5.0,5.0,11035
282659,2021,5.0,5.0,5.0,11035
282647,2021,4.7,4.0,5.0,11035
282615,2021,5.0,5.0,5.0,11035
282604,2021,4.7,5.0,4.0,11035
282563,2021,5.0,5.0,5.0,11035
